3dx,3dy,3dz
0,0,0
1.9526810723924e-10,1.9371874104834e-09,8.7867446652012e-10
4.1823877694469e-11,8.0196465024329e-09,3.6561473293339e-09
-8.2196929818146e-10,1.8210372765282e-08,8.3100402670233e-09
-2.7085377274361e-09,3.2377588943255e-08,1.4766617317807e-08
-5.8357555732247e-09,5.0334241330496e-08,2.2922675035897e-08
-1.0319276960713e-08,7.1890366326599e-08,3.2674121741572e-08
-1.6198769825504e-08,9.6893545853405e-08,4.393779223788e-08
-2.3478285038347e-08,1.2524566272987e-07,5.666024965878e-08
-3.2162594643115e-08,1.5689889687476e-07,7.0815327879448e-08
-4.2281075696149e-08,1.9183999033778e-07,8.6395394227612e-08
-5.3898488505677e-08,2.3007071570103e-07,1.034006569256e-07
-6.7115220769853e-08,2.715892889471e-07,1.2182907632718e-07
-8.2059904704668e-08,3.1637500752524e-07,1.4166810163863e-07
-9.887676122311e-08,3.6437721595561e-07,1.6288881310444e-07
-1.1770961094726e-07,4.1550927565304e-07,1.854428215986e-07
-1.3868445641885e-07,4.6964798572358e-07,2.0926214644446e-07
-1.6189272183942e-07,5.2663847227574e-07,2.3426206918753e-07
-1.873771929839e-07,5.8630403643178e-07,2.6034664890595e-07
-2.1512235537369e-07,6.4845967095994e-07,2.8741619084727e-07
-2.4505000245645e-07,7.129275521045e-07,3.1537572847684e-07
-2.7701994648188e-07,7.7955282684616e-07,3.4414361005375e-07
-3.1083490165118e-07,8.482185641645e-07,3.736595810544e-07
-3.4624839440056e-07,9.1885966679861e-07,4.038922615246e-07
-3.8297519677766e-07,9.9147645271636e-07,4.348464047732e-07
-4.2070528749605e-07,1.0661489694419e-06,4.6657049795895e-07
-4.591243586427e-07,1.1430522987022e-06,4.9916480382439e-07
-4.9794535017522e-07,1.222470486284e-06,5.3278849637683e-07
-5.3695434198975e-07,1.3048023164153e-06,5.6766216616211e-07
-5.760676973221e-07,1.3905480420462e-06,6.0405982532652e-07
-6.1538570572672e-07,1.4802676293613e-06,6.4228548640743e-07
-6.5521870662444e-07,1.5745129382516e-06,6.8263596669782e-07
