13dx,13dy,13dz
0,0,0
3.4622005262719e-10,-1.7111908556799e-09,-7.3946826439908e-10
1.3959816358433e-09,-6.829259935337e-09,-2.9506041498983e-09
3.2129264804226e-09,-1.5324167601527e-08,-6.6200328552313e-09
5.8666093649684e-09,-2.7168004623768e-08,-1.1735969085436e-08
9.432358893946e-09,-4.2337632177869e-08,-1.8289322389897e-08
1.3990475389303e-08,-6.0816785052431e-08,-2.6274469155929e-08
1.9624859570744e-08,-8.2597345185675e-08,-3.568958567568e-08
2.6421233256801e-08,-1.0767959857105e-07,-4.6536493270022e-08
3.446517127248e-08,-1.3607141324812e-07,-5.8820030068851e-08
4.384021878856e-08,-1.6778634337467e-07,-7.2546999685397e-08
5.4626353940268e-08,-2.0284095980649e-07,-8.772485976527e-08
6.6899077333371e-08,-2.4125167086275e-07,-1.0436030362104e-07
8.072934654102e-08,-2.8303149013365e-07,-1.2245794694943e-07
9.6184465003812e-08,-3.2818728201711e-07,-1.4201933923319e-07
1.1332992438939e-07,-3.7671795949379e-07,-1.6304247918431e-07
1.322320287156e-07,-4.2861404048189e-07,-1.8552195718557e-07
1.5296092148454e-07,-4.8385878348434e-07,-2.0944975054338e-07
1.7559346182638e-07,-5.4243079672389e-07,-2.3481655103685e-07
2.0021532953773e-07,-6.0430764359243e-07,-2.6161336091901e-07
2.2692183176964e-07,-6.6946965537884e-07,-2.8983299898977e-07
2.5581716589507e-07,-7.3790304655486e-07,-3.1947115330944e-07
2.8701228982353e-07,-8.0960157489152e-07,-3.5052673230673e-07
3.2062194765814e-07,-8.8456640856549e-07,-3.8300146310011e-07
3.5676151455277e-07,-9.6280437678065e-07,-4.1689889312968e-07
3.9554429254185e-07,-1.0443251091674e-06,-4.5222305522508e-07
4.3707975527774e-07,-1.1291376977862e-06,-4.8897708326834e-07
4.8147285758304e-07,-1.2172475221117e-06,-5.2716201676128e-07
5.2882443934976e-07,-1.3086536644336e-06,-5.6677593895937e-07
5.7923254148662e-07,-1.4033471950059e-06,-6.0781351651773e-07
6.327944037654e-07,-1.5013104354145e-06,-6.5026594220363e-07
6.8960885568625e-07,-1.6025171916123e-06,-6.9412123726575e-07
7.4977881103777e-07,-1.7069338453801e-06,-7.3936483951931e-07
8.1341355862019e-07,-1.8145211300169e-06,-7.8598038483202e-07
8.8063056036258e-07,-1.9252363415712e-06,-8.3395057220992e-07
9.5155649415535e-07,-2.0390356930688e-06,-8.8325799868505e-07
1.0263273481081e-06,-2.1558764797813e-06,-9.3388584571086e-07
1.1050874720864e-06,-2.2757187310152e-06,-9.858183148137e-07
1.187987630491e-06,-2.3985260551029e-06,-1.0390407347294e-06
1.2751822668911e-06,-2.5242654884128e-06,-1.0935393029432e-06
1.3668263368904e-06,-2.6529062946423e-06,-1.1493004802854e-06
1.4630721765219e-06,-2.78441781143e-06,-1.2063101036408e-06
1.5640669709382e-06,-2.918766666471e-06,-1.2645523524424e-06
1.6699512487284e-06,-3.05591371208e-06,-1.3240086998711e-06
1.780858803424e-06,-3.1958112360897e-06,-1.3846570346698e-06
1.8969181504458e-06,-3.3384009537896e-06,-1.4464711022288e-06
2.0182553108761e-06,-3.4836131410643e-06,-1.5094203577315e-06
2.1449974383358e-06,-3.6313671353261e-06,-1.5734702681069e-06
2.2772765309043e-06,-3.7815731205315e-06,-1.6385830006738e-06
2.4152323826465e-06,-3.9341348002653e-06,-1.7047183458185e-06
